sep=,
"Time","temperature","windSpeed","solarRad","humedad","rain","Power_gen","pressure_sensor","pressure"
1708233343000,7.38889,1.60934,0,83,0,0,385.43462068968336,29.234
1708237544000,8.83333,1.60934,0,73,0,0,386.35882031267073,29.237
1708241745000,8.77778,6.43738,81,72,0,0,385.92185619566976,29.275
1708245646000,9.66667,6.43738,269,71,0,0,385.8606098319158,29.297
1708249847000,13.9444,3.21869,441,59,0,0,385.03308339093223,29.298
1708254049000,16.5556,1.60934,557,50,0,0,385.39125452798385,29.297
1708257050000,17.8889,16.0934,587,47,0,0,386.0294042766845,29.284
1708260050000,19,16.0934,589,44,0,0,385.8126735439449,29.269
1708262761000,19.8889,16.0934,557,43,0,0,386.3365701358603,29.246
1708264261000,19.4444,16.0934,522,46,0,0,385.93479932700774,29.238
1708265478000,19.3333,17.7028,489,45,0,0,385.59847806373557,29.23
1708266409000,19.2222,17.7028,462,47,0,0,386.37566639856175,29.227
1708267329000,19.2778,16.0934,432,47,0,0,385.83782591773064,29.229
1708268538000,19.1111,16.0934,388,46,0,0,386.31949053986796,29.224
1708269471000,18.6667,16.0934,350,49,0,0,385.61038707890987,29.225
1708270671000,18.5,17.7028,308,50,0,0,385.7503263468555,29.218
1708271871000,18.6111,19.3121,251,49,0,0,384.35880629367745,29.22
1708273071000,17.9444,16.0934,190,52,0,0,385.07705000717834,29.214
1708274272000,17.2222,16.0934,125,54,0,0,386.7583227376806,29.214
1708275510000,16.7222,16.0934,65,55,0,0,384.9056202341217,29.219
1708276727000,15.7778,17.7028,19,59,0,0,385.66993215478186,29.217
1708277717000,15.1667,16.0934,11,60,0,0,383.5173359637782,29.218
1708281917000,13.6667,1.60934,0,65,0,0,382.1767211127181,29.238
1708286119000,12.9444,0,0,68,0,0,383.1561625539934,29.239
1708290019000,12.3889,6.43738,0,66,0,0,383.57995002955505,29.235
1708294221000,11.9444,0,0,66,0,0,382.8822885635684,29.241
1708298422000,11.6111,3.21869,0,69,0,0,383.96077164644817,29.232
1708302623000,10.7778,3.21869,0,74,0,0,383.67505535802053,29.219
1708306824000,10.2778,1.60934,0,76,0,0,384.10634851541465,29.201
1708311025000,10.2222,3.21869,0,72,0,0,384.2147639196633,29.175
1708315226000,9.72222,0,0,74,0,0,384.5084529101265,29.173
1708319427000,9.66667,0,0,69,0,0,384.370181571477,29.165
1708323328000,10.0556,6.43738,0,68,0,0,385.4426934674766,29.163
1708327529000,11.7222,1.60934,54,64,0,0,384.17366614180656,29.165
1708331730000,12.8889,4.82803,267,63,0,0,431.04945130760893,29.174
1708335931000,16.3889,4.82803,441,52,0,0,428.79491127802567,29.171
1708339832000,19.4444,9.65606,550,42,0,0,389.3560225406504,29.165
1708343733000,20.5556,14.4841,613,42,0,0,426.5071460968633,29.145
1708346489000,21.3333,17.7028,499,39,0,0,388.37784872564015,29.124
1708347695000,22.8889,16.0934,568,35,0,0,388.0023978410805,29.117
1708348896000,22.0556,20.9215,606,38,0,0,387.5098916785183,29.118
1708350096000,22.5556,19.3121,610,37,0,0,387.23638463253826,29.112
1708351321000,22,19.3121,617,37,0,0,386.86890645001426,29.109
1708352521000,21.9444,22.5308,512,37,0,0,385.61142119507343,29.107
1708353723000,21.7778,22.5308,443,38,0,0,385.68407619521304,29.106
1708354929000,21.7778,16.0934,406,36,0,0,386.45672776235386,29.1
1708356144000,21.2222,19.3121,352,38,0,0,385.9371010694364,29.098
1708357345000,20.8333,20.9215,311,41,0,0,385.8278517005397,29.099
1708358558000,19.4444,20.9215,251,51,0,0,385.1957732144771,29.1
1708359758000,18.9444,16.0934,183,52,0,0,384.6691745771018,29.112
1708361046000,18.5,16.0934,116,53,0,0,384.88703950176273,29.113
1708365247000,16.3889,8.04672,0,60,0,0,381.51391936902064,29.139
1708373349000,14.2778,3.21869,0,61,0,0,381.75440141493715,29.154
1708377550000,13.3889,1.60934,0,60,0,0,379.77543666366097,29.163
